Feature,Importance
power_10,0.7152526075850979
cpu_10,0.03719863892650073
cpu_8,0.028101150387180876
latency_8,0.027128100868410616
latency_6,0.025042268834049416
selected node,0.02180486838955765
latency_9,0.01928777968031716
cpu_3,0.019282751214247423
cpu_6,0.017416272421064537
latency_7,0.017395095343129042
latency_3,0.011875313996456926
latency_4,0.010195494987962926
cpu_7,0.008581784308898204
power_8,0.008498879728552244
cpu_9,0.008262025833672144
power_3,0.006731494933803685
power_7,0.005744703533812776
power_9,0.005230685107888021
cpu_4,0.003209382731320197
power_4,0.001926380422677976
power_6,0.0018343207653996588
